,Customer Reviews,Compound Score,Positive Score,Neutral Score,Negative Score
0,"Mediterranean food is my absolute favorite, so when I came across this place in Santa Ana, I had to give it a try. Walking in, there was a really nice ambiance. Everything is very clean, there are pictures on the wall in case you're not sure what to get, and the staff is super friendly. Looks like it was remodeled. Fits that modern vibe! Portion sizes are huge for the price, so that's a definite plus for me. More bank for your buck, am I right? As someone with a small stomach, I couldn't finish the entire meal, so I took it home for the next day. Still just as good. ÌâåÊI got the plate with lamb kebab. So good! Will be coming back to try their chicken kebab plate. They also have a Yelp Check-In offer, so don't forget about that ;)",0.9828,0.216,0.771,0.013
1,"Just got my predictable angry reply by the owner. I'll keep it short. It's pretty telling that the owner says things like ""I'm sure you knew I was not just going to let you get away with your pretend false review"". Implying that I'm in fact in the wrong for feeling how I did. Saying that it's ""pretend false"" also implies it is fake, as if all of this didn't happen and I didn't come there, but you seem to acknowledge it all did happen.I'm sorry yet honored you feel I sound like a seasoned reviewer. I was in California for the summer, although I currently live in Pennsylvania. The rest of what you're saying, I'll blame on perhaps only looking into it almost 3 months later. No, I did not come in with a party of 4, you may be thinking of someone else. I did get a chuckle out of ""Although you ate our food and experienced our service, if someone else in your party paid, you shouldn't be allowed to review!"". That's not really how it works, fortunately! Take heart however, my brother who paid also did review the restaurant similarly. I don't really know how your second point refutes anything. The taking of two tables (this was 2 and a half months ago), I frankly do not remember, but I do remember your store being completely empty, so I apologize if taking an extra table hurt. I also thank you for surprisingly not charging us for that extra table in the empty store, progress is clearly being made with your practices.Of course there is deception, if you're saying ""Salad or rice"" as if they are two options cost the same, or saying ""Fries ok with the wrap?"", as if this is the default. You make it a point to say that this is a counter service, which is absolutely true. But you can still be deceptive at the counter itself, and you likely know that when people spend time deciding about an order, they likely aren't going to undo the whole order over 2-3 dollars. It's smart, but deceptive nonetheless. If you are not informing the buyer that if they choose a certain option, they will pay extra, that is deceptive. You only say the final price at the end, and unless the person asks (if they are not assuming it's taxes and such), they don't find out the reason for the extra pricing until they see their receipt.Yes, it's worrisome regarding the clean water. Mainly because I specifically asked you ""You don't have normal water outside of these bottles?"" to which you replied ""No, sorry"". Should I instead assume you are lying and that there is normal water?I'll let others who read this decide for themselves, but it's pretty embarrassing you are actually trying to justify not offering water to customers, and using 'cost-effective' as your excuse. I will say this though: out of my own kindness, I will personally buy you a water dispenser if cost is truly what is preventing you from doing it. I'll even get one with cups, so there will be very little labor, even less than the labor of processing an order for every water bottle.I note you said the reason that you didn't offer the tap water (admittedly lying when I asked if you have normal water), is because of 4 people with 1 platter who are unwilling to pay for water. Again, we were 3 people, but furthermore, we actually DID order a water bottle! After we ran out of the water, I asked for one because I assumed the bottle itself was just for cold water, which is when you lied and said that you have no water. I'll attach the receipt to save you the embarrassment of lying again.You are absolutely correct that this is my first review, I hope that is telling for how much I believe this needed to be said. Obviously, it has been useful to others considering the votes and similar reviews. On the other hand, your constant insulting and personal attacks are all just because you don't like negative reviews. I encourage readers to look at the owner's responses to other negative responses. ÌâåÊAll are: you are a liar, dishonest, exploitative, abusing elite status, etc. Buyer beware, if you don't enjoy your experience here and say so, you will be attacked by the owner. And don't talk about your experience if you didn't pay in your party, it doesn't count apparently!Thank you for complimenting my writing skills, and let me know if you do need an investment for water dispenser.",0.9708,0.129,0.763,0.109
2,"Came here for the first time today for lunch!!!!Definitely not disappointed, the food is super fresh and portions are outrageous. ÌâåÊI ordered chicken kebab and honestly it might be the best I have ever had. ÌâåÊOrdered my meal with Greek salad and a side of falafel. Delicious, the only think missing is the whiskey lol. ÌâåÊDefinitely recommend it if your in the area. Great service as well.",0.9801,0.357,0.585,0.057
3,"Wow! What a gem this turned out to be! Was in town for business yesterday and grabbed some lunch here. Went with the chicken kebab plate which came with 1/2 rice 1/2 salad, grilled veggies and a side of pita bread. I particularly liked their mint sauce which came with the bread - nice touch vs. the usual hummus you get in other places. Food takes about 15 mins to cook but the meat is so tender and fresh...worth the wait!",0.6152,0.088,0.886,0.027
4,"Found this place just from walking around in the area and I'm so glad I took a chance because WOW! I ordered the Salmon Kebab and it was delicious! Sometimes I need more lemon to give salmon more flavor but this one didn't need it. I asked for half & half of their Greek salad and rice for my sides and it was perfect. They also brought out slices of pita bread with a tasty green sauce as our starter. It was so good, that we ordered some to-go. Definitely coming back!",0.9594,0.226,0.731,0.044
5,Omg can I just say to die for! Ordered via Postmates for the first time and I must say that you for sure get what you paid for. The chicken is extra tender and not burned at all like other places. The veggies and rice are super fresh. I will for sure to order here from now on.,0.8268,0.204,0.737,0.059
6,"I don't write many One Star reviews, so when I do, they are well deserved.Look at the owner's response. ÌâåÊWhat a joke like the food and service.Small portionsOverpriced and lousy service!!!!!ATJAAC - Avoid This Joint At All Costs!!!!!",0.3111,0.187,0.68,0.134
7,EXCELLENT! Quick friendly service and the place is very clean. Food arrived in a timely manner and made me sooo happy!!!,0.9476,0.492,0.508,0.0
8,I always order the salmon kebab plate and it is always so delicious. The garlic sauce is delivered straight from heaven! I wish they didn't charge so much for it but it's so good. Most other places will give it to you for free,0.9529,0.335,0.665,0.0
9,"So so good. We got the Sultan Platter and the Gyro Kebab , every single bite was delicious. We overshot how much food we should order but don't mind having leftovers for tomorrow's lunch. It came out to about 63 dollars for our meal but It's so so worth it. Every single bite was so fresh and tasty. We'll probably just stick to ordering the Sultan platter for the two of us to share next time. But again, so worth it. You won't regret it.",0.9678,0.221,0.779,0.0
10,"Service was good, food is great. I ordered the Sultan platter which came with three kebabs: chicken, ground sirloin, and my choice of lamb. All meats were good and flavorful. The lamb was cooked well done, very over. The chicken was tender and moist and the ground sirloin was bursting with flavor. The garlic sauce was certainly mayo use based and did not taste like garlic. The mayo was not good mayo either. I would recommend a 50/50 mayo/sour cream mix with fresh minced or crushed garlic. The tzatsiki was very good as well as the cilantro chutney served with the pita bread. Lime is not traditionally Greek, I would have preferred lemon as most Greek and Middle Eastern cuisine would offer. Overall very good, just a few minor technical flaws. The owner took my order and followed up after the food to explain the sauces and check in. Very friendly, very scalable business.",0.9725,0.191,0.762,0.047
11,"This was only one of a handful of times I've been to a kebab restaurant. It was pretty amazing. I'm a particularly picky person when I eat, and I loved just about everything there.The marinated chicken was super flavorful. I don't know how to describe the flavors I was experiencing, other than to say it was delicious.The sauces are a highlight of meal for sure!",0.9628,0.28,0.72,0.0
12,Ok I love this kind of food and this place was Amazing!!!! Worth every penny loved the place inside super cute and they had the best customer service!! So nice I will definitely be back,0.9849,0.564,0.436,0.0
13,"Downtown Santa Ana has no shortage destinations to eat. Luckily I work super duper close and this was one of the first places I checked out. Specializing in fresh made to order kebabs, salads, wraps. This place deserves a gold star. Located on 4th street in the hope you find parking zone. Bring those quarters for the meter. Or call in your order and park in the structure and take advantage of their 20 minute validation.The chicken Kebab plate is off the hook. Served with rice, salad and warm pita bread. Paired with garlic sauce and a green sauce. Chicken is super moist and flavorful. In fact, I couldnt help myself and busted open my box on my way home and grabbed a bite. It was so good. House made salad dressing was one of the best I've had.Service is friendly. The owner takes great pride in his food. Yelp check in scores you one free appetizer and drink.Can't wait to return.",0.9852,0.217,0.732,0.052
14,"Came here based off yelp reviews. This place did not disappoint, everything was wonderful!!! I'm so full right now shared the Sultan platter with my wife and we also had the sampler appetizer. The humus - tzatziki - babaganoush were all outstanding along with their cilantro citrus dip = Great combination. On the platter we had Chicken, Steak, Lamb kabobs all three were cooked perfect and the flavor was the best I've had.(Did I mention I'm stuffed!!) oh yeah and falafel was on point! Without a doubt top Mediterranean place I've been too, don't live near hear but I will definitely be making the 1/2 hour trek to eat here again. Staff were extremely friendly and inviting as well as helpful in menu selection. Bistro style inside, quaint and comfortable. We will be back, got a lot more menu to try!",0.9905,0.271,0.729,0.0
15,"Best Mediterranean food around. Fresh, lots of flavor, perfect portion size. Must try this place out. Garlic sauce is so yummy!!",0.9446,0.471,0.529,0.0
16,"This place is a hidden gem! Best Mediterranean food I've had in orange county. ÌâåÊFair prices, ÌâåÊgenerous portions and friendly service!",0.8395,0.307,0.693,0.0
17,"If you don't eat a lot of Lebanese/Persian food, then the food seems good, but bad Persian food is still good. Compared to most places, the food is only okay. The meat/rice choice I had was mediocre compared to places like Hatams in Anaheim. You also have to buy water. Put a pitcher out with some cups. It doesn't cost much at all but it provides customers with water without having to buy it in a bottle. This is a basic need for a restaurant. Free water please.Waitress was sweet but owner seems like a prick outside of his superficial politeness. Just weird unfriendly vibe that I don't encounter too often in restaurants.",0.8735,0.177,0.722,0.101
18,"If you are looking for mediocre Mediterranean, then don't come here! This place is fantastic!!! Fresh, flavorful, locally sourced meats and veggies and house made sauces. As a family we eat low carb / Keto, so we are meat and veggie connoisseurs. The salmon, chicken, steak, gyro and hamburgers were all top notch! The portions are huge. The establishment was clean and tastefully decorated and the food was presented beautifully. We are visiting from out of state and have eaten at a couple of fine dining establishments that couldn't compare with the food we ate here. The owner / manager was so nice and accommodating. Seriously, do yourself a favor and enjoy a meal here. I really wish Kebab Place was back in my home state.",0.98,0.225,0.748,0.027
19,"Great food and service! This place is a little pricier than the average on-the-go places; however, the portions are worth the pay! I ordered the salmon kabob plate and it was absolutely delicious! Their green sauce is pretty good too! I haven't seen or tried that certain sauce at other Mediterranean restaurants. I came during lunch time and the wait was not long.",0.9581,0.266,0.715,0.019
